City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Casper,US,2022-02-01 03:11:39,42.8666,-106.3131,29.5,56,0,11.5
1,Rikitea,PF,2022-02-01 03:13:27,-23.1203,-134.9692,78.35,66,93,6.46
2,Constitucion,CL,2022-02-01 03:13:27,-35.3333,-72.4167,57.52,74,0,7.09
3,Chokurdakh,RU,2022-02-01 03:13:27,70.6333,147.9167,-12.77,95,100,1.57
4,Tasiilaq,GL,2022-02-01 03:13:28,65.6145,-37.6368,10.56,89,80,8.14
5,Cidreira,BR,2022-02-01 03:11:14,-30.1811,-50.2056,72.86,87,1,3.44
6,Avarua,CK,2022-02-01 03:13:28,-21.2078,-159.775,80.65,78,100,12.66
7,New Norfolk,AU,2022-02-01 03:13:28,-42.7826,147.0587,81.9,53,43,12.1
8,Saskylakh,RU,2022-02-01 03:13:29,71.9167,114.0833,-28.97,100,69,2.08
9,Albany,US,2022-02-01 03:13:29,42.6001,-73.9662,16.52,71,7,1.97
10,Kapaa,US,2022-02-01 03:13:29,22.0752,-159.319,75.18,74,75,1.99
11,Talcahuano,CL,2022-02-01 03:13:29,-36.7167,-73.1167,58.68,72,0,9.22
12,Humaita,BR,2022-02-01 03:13:30,-7.5061,-63.0208,72.34,99,45,2.46
13,Lagoa,PT,2022-02-01 03:13:30,39.05,-27.9833,58.87,75,38,22.37
14,Dikson,RU,2022-02-01 03:13:31,73.5069,80.5464,-0.15,89,100,20.15
15,Severo-Kurilsk,RU,2022-02-01 03:08:58,50.6789,156.125,28.53,74,100,16.67
16,Adrar,MR,2022-02-01 03:13:31,20.5022,-10.0711,70.81,14,100,9.22
17,Bud,US,2022-02-01 03:13:31,39.447,-86.1758,35.82,72,99,7.85
18,Bluff,NZ,2022-02-01 03:10:15,-46.6,168.3333,66.79,82,100,13.33
19,Celendin,PE,2022-02-01 03:13:32,-6.8703,-78.1517,52.7,73,80,4.36
20,Aykhal,RU,2022-02-01 03:13:32,66.0,111.5,-25.69,100,68,4.76
21,Ahuimanu,US,2022-02-01 03:13:32,21.4447,-157.8378,75.45,70,0,1.99
22,Laibin,CN,2022-02-01 03:13:33,23.7,109.2667,45.03,82,100,10.38
23,Busselton,AU,2022-02-01 03:13:33,-33.65,115.3333,75.04,34,0,15.28
24,Ponta Do Sol,PT,2022-02-01 03:10:29,32.6667,-17.1,65.03,81,10,12.68
25,Chake Chake,TZ,2022-02-01 03:13:33,-5.2459,39.7666,75.51,84,43,4.0
26,Sao Jose Da Coroa Grande,BR,2022-02-01 03:13:34,-8.8978,-35.1478,78.15,82,39,7.23
27,Saldanha,ZA,2022-02-01 03:09:10,-33.0117,17.9442,65.95,91,7,8.59
28,Pimentel,PE,2022-02-01 03:13:34,-6.8367,-79.9342,70.68,78,24,10.02
29,Klaksvik,FO,2022-02-01 03:10:25,62.2266,-6.589,43.72,78,100,42.46
30,Grand Gaube,MU,2022-02-01 03:11:42,-20.0064,57.6608,80.38,69,99,8.99
31,Meridian,US,2022-02-01 03:08:56,43.6121,-116.3915,32.16,71,40,1.99
32,Jamestown,US,2022-02-01 03:13:35,42.097,-79.2353,22.64,63,0,5.75
33,Qaanaaq,GL,2022-02-01 03:13:35,77.484,-69.3632,-19.59,46,3,10.42
34,Souillac,MU,2022-02-01 03:13:35,-20.5167,57.5167,80.37,80,100,19.8
35,Vila Velha,BR,2022-02-01 03:10:02,-20.3297,-40.2925,75.15,88,75,3.44
36,Den Helder,NL,2022-02-01 03:13:36,52.9599,4.7593,43.07,82,100,17.0
37,Jaleswar,NP,2022-02-01 03:13:36,26.6471,85.8008,60.49,58,0,3.85
38,Glendive,US,2022-02-01 03:13:36,47.1053,-104.7125,20.03,70,75,25.32
39,Cape Town,ZA,2022-02-01 03:09:00,-33.9258,18.4232,73.11,85,8,1.01
40,Tuktoyaktuk,CA,2022-02-01 03:13:37,69.4541,-133.0374,-15.12,99,100,3.42
41,Atuona,PF,2022-02-01 03:09:18,-9.8,-139.0333,78.71,75,13,19.98
42,Bad Aussee,AT,2022-02-01 03:13:37,47.61,13.7824,33.01,100,100,6.31
43,Saint Anthony,US,2022-02-01 03:13:37,45.0205,-93.218,29.28,77,0,5.01
44,Hithadhoo,MV,2022-02-01 03:14:38,-0.6,73.0833,82.45,72,9,12.62
45,Carutapera,BR,2022-02-01 03:14:38,-1.195,-46.02,73.38,90,100,6.31
46,Marawi,PH,2022-02-01 03:14:39,7.9986,124.2928,79.56,61,70,4.85
47,San Severo,IT,2022-02-01 03:14:39,41.6897,15.376,46.0,67,100,26.98
48,Tukrah,LY,2022-02-01 03:14:39,32.5341,20.5791,52.75,71,6,17.69
49,Vaini,TO,2022-02-01 03:14:40,-21.2,-175.2,80.83,72,62,13.91
50,Karratha,AU,2022-02-01 03:14:40,-20.7377,116.8463,94.28,47,100,12.8
51,Port Alfred,ZA,2022-02-01 03:14:40,-33.5906,26.891,74.73,96,99,3.62
52,Kemin,KG,2022-02-01 03:14:40,42.7846,75.6892,23.31,67,91,5.5
53,Padang,ID,2022-02-01 03:14:41,-0.9492,100.3543,80.65,79,93,2.89
54,Pevek,RU,2022-02-01 03:14:41,69.7008,170.3133,-16.65,96,71,0.72
55,Ushuaia,AR,2022-02-01 03:14:42,-54.8,-68.3,40.01,95,97,2.37
56,Punta Arenas,CL,2022-02-01 03:14:42,-53.15,-70.9167,46.11,81,75,19.57
57,Bethel,US,2022-02-01 03:14:42,41.3712,-73.414,20.68,68,0,0.0
58,Nuuk,GL,2022-02-01 03:14:43,64.1835,-51.7216,16.88,92,100,12.66
59,Itoman,JP,2022-02-01 03:14:43,26.1247,127.6694,66.97,56,75,10.36
60,Elizabeth City,US,2022-02-01 03:14:43,36.2946,-76.2511,41.02,90,0,10.36
61,Kodiak,US,2022-02-01 03:14:43,57.79,-152.4072,35.11,80,100,9.22
62,Lebu,CL,2022-02-01 03:14:44,-37.6167,-73.65,57.42,78,0,16.8
63,Salalah,OM,2022-02-01 03:14:44,17.0151,54.0924,66.29,55,20,2.3
64,Khatanga,RU,2022-02-01 03:14:44,71.9667,102.5,-29.7,100,18,3.47
65,Petropavlovsk-Kamchatskiy,RU,2022-02-01 03:14:45,53.0452,158.6483,28.78,69,75,15.66
66,Sitka,US,2022-02-01 03:10:16,57.0531,-135.33,35.49,80,100,3.44
67,Devonport,AU,2022-02-01 03:14:45,-41.1667,146.35,78.78,47,13,19.22
68,Santa Fe,AR,2022-02-01 03:11:32,-31.6333,-60.7,75.02,56,1,4.0
69,Ancud,CL,2022-02-01 03:11:32,-41.8697,-73.8203,57.22,88,82,6.51
70,Hobart,AU,2022-02-01 03:13:07,-42.8794,147.3294,82.26,28,59,21.85
71,Lompoc,US,2022-02-01 03:10:27,34.6391,-120.4579,60.42,85,0,4.61
72,Kavaratti,IN,2022-02-01 03:14:46,10.5669,72.642,80.49,71,6,7.96
73,Clyde River,CA,2022-02-01 03:14:46,70.4692,-68.5914,-25.37,75,100,4.61
74,Saint George,US,2022-02-01 03:13:42,37.1041,-113.5841,51.94,27,0,1.99
75,Atasu,KZ,2022-02-01 03:14:18,48.6814,71.6433,-2.24,98,18,4.0
76,Ashford,GB,2022-02-01 03:14:47,51.1459,0.8728,45.03,87,99,12.03
77,Vila Franca Do Campo,PT,2022-02-01 03:14:47,37.7167,-25.4333,57.61,77,67,13.53
78,Scarborough,GB,2022-02-01 03:09:55,54.2797,-0.4044,50.52,89,100,4.0
79,Vao,NC,2022-02-01 03:14:47,-22.6667,167.4833,78.17,83,98,9.66
80,Hermanus,ZA,2022-02-01 03:14:48,-34.4187,19.2345,72.9,88,3,6.8
81,Beyneu,KZ,2022-02-01 03:14:48,45.3167,55.2,32.45,83,41,11.88
82,Ermelo,ZA,2022-02-01 03:14:48,-26.5333,29.9833,53.13,95,97,1.72
83,Bengkulu,ID,2022-02-01 03:14:49,-3.8004,102.2655,83.48,67,88,5.39
84,Norman Wells,CA,2022-02-01 03:14:49,65.282,-126.8329,1.44,71,75,10.36
85,Pozo Colorado,PY,2022-02-01 03:14:49,-23.4923,-58.7972,82.06,28,77,3.71
86,Provideniya,RU,2022-02-01 03:15:50,64.3833,-173.3,12.31,62,75,22.37
87,Yellowknife,CA,2022-02-01 03:15:50,62.456,-114.3525,-11.7,87,20,8.05
88,Ginir,ET,2022-02-01 03:15:50,7.1333,40.7,55.02,27,59,2.42
89,Butaritari,KI,2022-02-01 03:15:50,3.0707,172.7902,81.97,78,100,12.64
90,Acapulco,MX,2022-02-01 03:14:39,16.8634,-99.8901,80.42,69,20,8.05
91,Antofagasta,CL,2022-02-01 03:15:51,-23.65,-70.4,65.48,83,9,3.06
92,Oktyabrskiy,RU,2022-02-01 03:15:51,54.4815,53.471,26.58,86,100,16.8
93,Dali,CN,2022-02-01 03:15:52,25.7,100.1833,48.83,58,28,6.58
94,Akdagmadeni,TR,2022-02-01 03:15:52,39.6603,35.8836,22.53,95,100,4.52
95,Syamzha,RU,2022-02-01 03:15:52,60.0158,41.0614,16.83,95,100,7.07
96,Broken Hill,AU,2022-02-01 03:15:52,-31.95,141.4333,81.16,50,100,9.44
97,Esperance,AU,2022-02-01 03:15:53,-33.8667,121.9,65.89,51,57,16.53
98,Namibe,AO,2022-02-01 03:15:53,-15.1961,12.1522,70.32,75,99,8.28
99,Port Elizabeth,ZA,2022-02-01 03:15:53,-33.918,25.5701,73.09,100,75,4.61
100,Vostok,RU,2022-02-01 03:15:54,46.4856,135.8833,6.69,84,100,5.1
101,Thompson,CA,2022-02-01 03:15:54,55.7435,-97.8558,1.56,78,100,9.22
102,Otane,NZ,2022-02-01 03:15:54,-39.8833,176.6333,81.39,47,100,9.95
103,Anito,PH,2022-02-01 03:15:55,12.4497,125.2886,80.1,85,45,9.37
104,Jiquipilas,MX,2022-02-01 03:15:55,16.6667,-93.65,74.43,86,0,4.05
105,Kaitangata,NZ,2022-02-01 03:15:55,-46.2817,169.8464,69.93,78,100,7.43
106,Hilo,US,2022-02-01 03:12:21,19.7297,-155.09,74.25,82,56,4.85
107,Torbay,CA,2022-02-01 03:15:56,47.6666,-52.7314,31.75,73,75,17.27
108,Yulara,AU,2022-02-01 03:15:56,-25.2406,130.9889,71.44,100,100,13.8
109,Menongue,AO,2022-02-01 03:15:56,-14.6585,17.691,62.11,62,100,5.39
110,Linqiong,CN,2022-02-01 03:15:57,30.4159,103.4609,42.62,92,100,5.97
111,Mataura,NZ,2022-02-01 03:15:57,-46.1927,168.8643,83.52,41,100,0.98
112,Glace Bay,CA,2022-02-01 03:15:58,46.1969,-59.957,18.79,78,20,3.44
113,Ertil,RU,2022-02-01 03:15:58,51.8406,40.8056,27.18,95,100,15.3
114,Kaeo,NZ,2022-02-01 03:15:58,-35.1,173.7833,73.33,85,99,13.6
115,Yumen,CN,2022-02-01 03:14:17,40.2833,97.2,18.43,26,73,3.98
116,Ternate,ID,2022-02-01 03:15:59,0.8,127.4,84.18,65,97,2.95
117,Tuatapere,NZ,2022-02-01 03:15:59,-46.1333,167.6833,76.51,45,100,2.46
118,Zhezkazgan,KZ,2022-02-01 03:16:00,47.8043,67.7144,8.58,85,100,4.47
119,Bagdarin,RU,2022-02-01 03:16:00,54.4333,113.6,-3.66,79,14,2.06
120,West Bay,KY,2022-02-01 03:16:00,19.3667,-81.4167,75.0,71,20,3.0
121,Dubbo,AU,2022-02-01 03:15:33,-32.25,148.6167,86.13,51,92,10.36
122,Chitral,PK,2022-02-01 03:16:01,35.8462,71.7858,24.8,58,0,8.63
123,Ekhabi,RU,2022-02-01 03:16:01,53.5102,142.9671,5.54,93,100,24.79
124,Hoquiam,US,2022-02-01 03:16:01,46.9809,-123.8893,43.02,86,75,3.44
125,Castro,BR,2022-02-01 03:16:02,-24.7911,-50.0119,62.08,90,3,2.21
126,Itapirapua,BR,2022-02-01 03:16:02,-15.8233,-50.6133,69.08,96,100,2.84
127,Richards Bay,ZA,2022-02-01 03:12:59,-28.783,32.0377,72.91,85,10,8.79
128,Caravelas,BR,2022-02-01 03:16:02,-17.7125,-39.2481,77.32,91,46,8.3
129,Atar,MR,2022-02-01 03:16:03,20.5169,-13.0499,77.77,14,100,9.66
130,Shu,KZ,2022-02-01 03:16:03,43.5983,73.7614,30.34,78,100,4.05
131,Tateyama,JP,2022-02-01 03:17:03,34.9833,139.8667,52.07,54,83,7.87
132,Salym,RU,2022-02-01 03:17:04,60.0625,71.4789,7.09,96,100,4.32
133,Narsaq,GL,2022-02-01 03:17:04,60.9167,-46.05,25.02,90,100,3.89
134,Galle,LK,2022-02-01 03:17:04,6.0367,80.217,78.06,79,34,3.89
135,Saint-Philippe,RE,2022-02-01 03:17:05,-21.3585,55.7679,80.15,80,99,14.12
136,Amboasary,MG,2022-02-01 03:17:05,-25.0333,46.3833,75.04,88,4,3.49
137,Port Blair,IN,2022-02-01 03:17:05,11.6667,92.75,77.04,73,40,3.44
138,Huarmey,PE,2022-02-01 03:17:06,-10.0681,-78.1522,71.02,83,15,6.26
139,Changji,CN,2022-02-01 03:17:06,44.0167,87.3167,2.19,85,75,2.24
140,Lakatoro,VU,2022-02-01 03:17:06,-16.0999,167.4164,78.03,89,100,4.05
141,Nanfeng,CN,2022-02-01 03:17:07,23.7434,111.7959,46.9,90,98,3.27
142,Tshela,CD,2022-02-01 03:17:07,-4.9833,12.9333,72.68,99,97,0.16
143,Nikolskoye,RU,2022-02-01 03:17:07,59.7035,30.7861,24.69,97,99,4.59
144,Shahr-E Babak,IR,2022-02-01 03:17:08,30.1165,55.1186,43.5,69,29,13.94
145,Bang Saphan,TH,2022-02-01 03:17:08,11.2126,99.5117,87.75,65,19,4.52
146,Bismarck,US,2022-02-01 03:17:09,46.8083,-100.7837,39.04,74,20,10.0
147,Jalu,LY,2022-02-01 03:17:09,29.0331,21.5482,51.12,66,1,9.8
148,Mount Gambier,AU,2022-02-01 03:17:09,-37.8333,140.7667,66.11,48,86,24.16
149,Progreso,MX,2022-02-01 03:17:10,21.2833,-89.6667,71.71,67,24,14.76
150,Moyo,UG,2022-02-01 03:17:10,3.6609,31.7247,70.72,40,82,1.34
151,Ribeira Brava,PT,2022-02-01 03:17:10,32.65,-17.0667,65.03,82,11,13.98
152,Kajaani,FI,2022-02-01 03:17:10,64.2273,27.7285,14.05,85,100,4.61
153,Kendari,ID,2022-02-01 03:17:11,-3.945,122.4989,85.82,63,98,4.83
154,Roald,NO,2022-02-01 03:17:11,62.5833,6.1333,33.94,69,20,10.36
155,Cabo San Lucas,MX,2022-02-01 03:17:11,22.8909,-109.9124,69.51,58,0,0.0
156,Waingapu,ID,2022-02-01 03:17:12,-9.6567,120.2641,86.97,62,13,19.04
157,Puerto Ayora,EC,2022-02-01 03:17:12,-0.7393,-90.3518,73.54,95,93,1.01
158,Yegorlykskaya,RU,2022-02-01 03:17:12,46.5656,40.6562,33.13,100,70,7.99
159,Wattegama,LK,2022-02-01 03:17:13,6.7989,81.4808,80.28,60,44,7.2
160,Salinas,US,2022-02-01 03:15:53,36.6777,-121.6555,54.82,85,75,3.44
161,Lorengau,PG,2022-02-01 03:17:13,-2.0226,147.2712,77.7,91,100,15.23
162,Bay-Khaak,RU,2022-02-01 03:17:13,51.1667,94.5,-18.47,90,13,0.67
163,Mareeba,AU,2022-02-01 03:17:14,-17.0,145.4333,86.43,74,68,4.74
164,Faanui,PF,2022-02-01 03:17:14,-16.4833,-151.75,81.18,73,6,19.19
165,Iisalmi,FI,2022-02-01 03:17:14,63.5592,27.1907,15.82,94,100,5.68
166,Katherine,AU,2022-02-01 03:17:14,-14.4667,132.2667,82.72,74,71,18.41
167,Horstel,DE,2022-02-01 03:17:15,52.3167,7.5833,38.03,80,93,12.03
168,Iaciara,BR,2022-02-01 03:17:15,-14.0958,-46.6317,68.36,91,100,1.83
169,Port Hardy,CA,2022-02-01 03:17:15,50.6996,-127.4199,39.76,93,75,5.75
170,Georgetown,MY,2022-02-01 03:17:16,5.4112,100.3354,87.73,71,20,8.05
171,Oblivskaya,RU,2022-02-01 03:17:16,48.5362,42.5014,32.38,91,100,13.82
172,Kangaatsiaq,GL,2022-02-01 03:17:16,68.3065,-53.4641,7.77,79,100,2.73
173,Ierapetra,GR,2022-02-01 03:17:17,35.01,25.7353,56.14,72,42,4.0
174,Marfino,RU,2022-02-01 03:17:17,55.7028,37.3822,29.48,100,100,11.18
175,Bredasdorp,ZA,2022-02-01 03:17:17,-34.5322,20.0403,72.28,98,24,3.98
176,Belz,FR,2022-02-01 03:17:18,47.6751,-3.168,49.08,89,90,1.99
177,Mujiayingzi,CN,2022-02-01 03:18:18,42.1167,118.7833,13.8,46,0,9.15
178,Bethanien,NA,2022-02-01 03:18:18,-26.502,17.1583,73.44,67,63,6.8
179,Hvide Sande,DK,2022-02-01 03:18:19,56.0045,8.1294,38.08,75,100,21.47
180,Buala,SB,2022-02-01 03:18:19,-8.145,159.5921,84.69,67,100,3.04
181,Port Shepstone,ZA,2022-02-01 03:18:19,-30.7414,30.455,74.59,90,100,9.15
182,Urumqi,CN,2022-02-01 03:18:20,43.801,87.6005,-1.25,85,75,2.24
183,Ribeira Grande,PT,2022-02-01 03:18:20,38.5167,-28.7,60.24,73,19,11.68
184,Tiksi,RU,2022-02-01 03:18:20,71.6872,128.8694,-10.86,100,100,5.57
185,Mecca,SA,2022-02-01 03:16:41,21.4267,39.8261,58.91,60,0,11.16
186,Chuy,UY,2022-02-01 03:18:21,-33.6971,-53.4616,60.67,66,0,6.22
187,Aripuana,BR,2022-02-01 03:18:21,-9.1667,-60.6333,70.9,98,100,1.77
188,Chisindia,RO,2022-02-01 03:18:21,46.2833,22.1,30.99,94,100,1.54
